Row,ID #,Species,Bird Height,Foraging Location,Mixed Location,Combined Location,Foraging Behavior,Substrate type,Canopy height,% Height in Canopy
310,154,CMWA,9,OL,OL,L,G,T,10,0.90
313,154,CMWA,9,OL,OL,L,G,T,10,0.90
314,154,CMWA,9,OL,OL,L,G,T,10,0.90
129,72,NOPA,2,UL,UL,L,G,T,10,0.20
603,262,BWVI,5,UL,UL,L,G,T,10,0.50
604,262,BWVI,5,UL,UL,L,G,T,10,0.50
96,56,NOPA,6,UL,UL,L,G,T,10,0.60
260,134,AMRE,6,UL,UL,L,G,T,10,0.60
89,53,NOPA,8,UL,UL,L,G,T,10,0.80
311,154,CMWA,9,UL,UL,L,G,T,10,0.90
611,266,AMRE,3,L,L,L,H,T,10,0.30
358,169,YRWA,4,OL,OL,L,H,T,10,0.40
226,115,BBTO,4.5,UL,UL,L,H,T,10,0.45
284,143,PRAW,3,OL,OL,L,S,T,10,0.30
250,129,CMWA,6,OL,OL,L,G,,10,0.60
248,128,YRWA,4,OL,OL,L,H,,10,0.40
251,129,CMWA,5,OL,OL,L,H,,10,0.50
160,91,YRWA,0.5,OL,OL,L,G,GC,11,0.05
158,91,YRWA,0.5,UL,UL,L,H,GC,11,0.05
213,108,PRAW,5,OL,OL,L,G,T,11,0.45
269,138,YRWA,5,OL,OL,L,G,T,11,0.45
307,153,PRAW,6,OL,OL,L,G,T,11,0.55
417,189,CMWA,9,OL,OL,L,G,T,11,0.82
418,189,CMWA,9,OL,OL,L,G,T,11,0.82
419,189,CMWA,9,OL,OL,L,G,T,11,0.82
420,189,CMWA,9,OL,OL,L,G,T,11,0.82
206,103,AMRE,1.5,UL,UL,L,G,T,11,0.14
111,66,AMRE,4,UL,UL,L,G,T,11,0.36
77,50,YRWA,4,OL,OL,L,H,T,11,0.36
166,92,PRAW,5,OL,OL,L,H,T,11,0.45
161,92,PRAW,6,OL,OL,L,H,T,11,0.55
163,92,PRAW,6,OL,OL,L,H,T,11,0.55
164,92,PRAW,6,OL,OL,L,H,T,11,0.55
216,109,YRWA,6,UL,UL,L,H,T,11,0.55
338,161,PAWA,1,OL,OL,L,H,B,12,0.08
304,152,YRWA,2,OL,OL,L,G,G,12,0.17
302,151,YRWA,2,OL,OL,L,H,G,12,0.17
53,36,NOPA,5,OL,OL,L,G,S,12,0.42
100,60,NOPA,2,UL,UL,L,H,S,12,0.17
59,39,BBTO,4,OL,OL,L,F,T,12,0.33
57,38,BBTO,6,OL,OL,L,F,T,12,0.50
490,214,BBTO,6,OL,OL,L,F,T,12,0.50
491,214,BBTO,6,OL,OL,L,F,T,12,0.50
74,47,YRWA,3,OL,OL,L,G,T,12,0.25
546,244,CMWA,3,OL,OL,L,G,T,12,0.25
298,150,CMWA,4,OL,OL,L,G,T,12,0.33
359,170,YRWA,4,OL,OL,L,G,T,12,0.33
299,150,CMWA,5,OL,OL,L,G,T,12,0.42
347,166,PRAW,5,OL,OL,L,G,T,12,0.42
558,247,CMWA,5,OL,OL,L,G,T,12,0.42
66,41,NOPA,6,OL,OL,L,G,T,12,0.50
209,105,BWVI,6,OL,OL,L,G,T,12,0.50
295,149,CMWA,6,OL,OL,L,G,T,12,0.50
346,164,YRWA,6,OL,OL,L,G,T,12,0.50
667,290,YRWA,6,OL,OL,L,G,T,12,0.50
487,211,BBTO,7,OL,OL,L,G,T,12,0.58
485,210,NOPA,8,OL,OL,L,G,T,12,0.67
577,255,BWVI,11,OL,OL,L,G,T,12,0.92
578,255,BWVI,11,OL,OL,L,G,T,12,0.92
579,255,BWVI,11,OL,OL,L,G,T,12,0.92
580,255,BWVI,11,OL,OL,L,G,T,12,0.92
581,255,BWVI,11,OL,OL,L,G,T,12,0.92
582,256,CMWA,4,UL,UL,L,G,T,12,0.33
583,256,CMWA,4,UL,UL,L,G,T,12,0.33
584,256,CMWA,4,UL,UL,L,G,T,12,0.33
54,36,NOPA,5,UL,UL,L,G,T,12,0.42
296,149,CMWA,5,UL,UL,L,G,T,12,0.42
361,171,YRWA,5,UL,UL,L,G,T,12,0.42
362,171,YRWA,5,UL,UL,L,G,T,12,0.42
47,34,AMRE,6,UL,UL,L,G,T,12,0.50
543,239,CMWA,7,UL,UL,L,G,T,12,0.58
51,36,NOPA,8,UL,UL,L,G,T,12,0.67
300,150,CMWA,5,OL,OL,L,H,T,12,0.42
585,256,CMWA,5,OL,OL,L,H,T,12,0.42
55,37,NOPA,6,OL,OL,L,H,T,12,0.50
294,149,CMWA,6,OL,OL,L,H,T,12,0.50
297,150,CMWA,6,OL,OL,L,H,T,12,0.50
223,113,YRWA,7,OL,OL,L,H,T,12,0.58
224,113,YRWA,7,OL,OL,L,H,T,12,0.58
486,210,NOPA,7,OL,OL,L,H,T,12,0.58
400,182,AMRE,1,UL,UL,L,H,T,12,0.08
